Linguagem,min,max,mediana,avg,quartile_90,quartile_95,quartile_99,archives_quartile_99,total_archives
ActionScript,1.0,10442.0,22.0,69.27086007702182,113.20000000000005,229.099999999999,481.0,7,779
Ant,10.0,1407.0,64.0,222.76190476190476,394.0,1011.0,1327.8000000000002,1,21
ANTLR Grammar,91.0,1620.0,199.0,477.4,1261.8,1444.2999999999997,1584.86,1,15
Arduino Sketch,9.0,243.0,36.0,43.32258064516129,66.0,82.5,199.4999999999999,1,31
AsciiDoc,1.0,10605.0,70.0,164.60603112840468,315.0,468.0,1377.0000000000045,21,2056
ASP,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,4
ASP.NET,1.0,1577.0,32.0,45.34872217642209,76.79999999999995,105.0,186.0,11,1213
AspectJ,10.0,50.0,33.0,28.692307692307693,44.400000000000006,46.99999999999999,49.39999999999999,1,13
Assembly,0.0,10065.0,73.0,461.68586118251926,1304.4000000000005,2283.799999999998,5182.759999999998,20,1945
awk,1.0,674.0,30.0,75.21739130434783,121.00000000000004,319.1999999999997,600.5200000000004,1,23
Blade,1.0,386.0,16.5,31.54040404040404,74.30000000000001,97.0,171.04000000000008,2,198
Bourne Again Shell,1.0,2815.0,15.0,46.44476744186046,94.0,142.89999999999986,486.96999999999923,11,1032
Bourne Shell,0.0,26607.0,22.0,114.3693564569299,155.40000000000055,304.0,1371.4399999999932,70,6977
builder,1.0,5.0,4.0,3.3333333333333335,4.8,4.9,4.98,1,3
C Shell,7.0,45.0,16.5,21.25,37.800000000000004,41.39999999999999,44.279999999999994,1,4
C# Designer,4.0,8760.0,70.0,240.13564668769715,474.40000000000003,829.7999999999952,2892.5999999999985,4,317
C# Generated,4.0,2006.0,460.0,823.3333333333334,1696.8000000000002,1851.3999999999999,1975.08,1,3
C#,0.0,122380.0,46.0,173.07788664093536,339.0,629.0,2058.699999999997,708,70731
C++,0.0,103187.0,137.0,392.11971442479313,816.0,1392.0,3727.600000000006,309,30815
C,0.0,438441.0,127.0,428.4719693094629,863.1000000000022,1515.0999999999985,3997.6099999999824,196,19550
Cake Build Script,230.0,287.0,240.0,252.33333333333334,277.6,282.3,286.06,1,3
Chapel,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1
Clojure,1.0,3429.0,55.0,113.7316384180791,258.3000000000004,383.64999999999986,878.1299999999987,18,1770
ClojureC,1.0,4295.0,86.0,265.6755319148936,704.4000000000005,1255.15,2650.389999999998,2,188
ClojureScript,1.0,10292.0,49.0,163.6042216358839,338.5999999999999,503.0999999999976,1542.1,4,379
CMake,0.0,15539.0,25.0,79.05961468556889,160.0,279.5,863.5,28,2751
COBOL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1
CoffeeScript,0.0,9224.0,47.0,168.08255006129954,346.0,693.3999999999996,2461.0999999999995,25,2447
CSON,0.0,247.0,6.0,32.09090909090909,139.8,198.0999999999999,236.20000000000002,1,55
CSS,0.0,28170.0,26.0,205.77511961722487,336.0,707.3999999999996,4373.360000000002,36,3553
CSV,1.0,19477.0,13.5,425.60372340425533,507.5,1430.5,10000.25,4,376
Cucumber,4.0,1271.0,44.0,80.04832713754647,163.20000000000002,258.9999999999998,687.4799999999985,3,269
CUDA,1.0,4750.0,65.5,157.35374149659864,360.7000000000006,586.4999999999998,1014.5499999999998,6,588
Cython,1.0,2291.0,57.0,179.50218340611355,513.6,836.1999999999996,1474.0399999999997,3,229
C/C++ Header,0.0,88965.0,41.0,142.23606090247947,252.0,447.0,1472.75,471,47026
D,5.0,460.0,26.5,56.041666666666664,106.89999999999998,184.69999999999982,399.5099999999999,1,24
DAL,309.0,309.0,309.0,309.0,309.0,309.0,309.0,0,1
Dart,2.0,2026.0,221.0,439.7391304347826,998.6,1789.2999999999988,1993.0000000000002,1,23
dhall,1.0,29.0,9.0,12.4,25.0,27.0,28.6,1,5
diff,1.0,13167.0,15.0,93.38888888888889,110.80000000000018,218.94999999999936,2062.230000000001,9,864
Dockerfile,1.0,221.0,16.0,25.97054698457223,64.0,79.0,142.76,8,713
DOS Batch,1.0,817.0,14.0,34.4327731092437,74.0,103.75000000000011,250.44000000000005,8,714
DTD,1.0,403.0,8.5,66.33333333333333,196.30000000000007,275.4999999999998,377.4999999999998,1,18
EEx,1.0,762.0,10.0,35.463157894736845,65.0,95.49999999999987,606.9000000000003,1,95
EJS,2.0,228.0,13.0,31.433333333333334,80.50000000000006,140.04999999999984,209.15000000000006,1,30
Elixir,0.0,2775.0,56.0,143.8,381.1999999999998,673.1999999999989,1007.2700000000009,30,2940
Elm,22.0,908.0,109.0,197.5,407.4999999999999,657.7499999999997,857.9499999999998,1,8
ERB,1.0,854.0,7.0,29.77221324717286,57.299999999999955,127.14999999999986,409.5199999999995,13,1238
Erlang,1.0,1310.0,121.5,205.24137931034483,426.4000000000002,743.9999999999998,1169.21,1,58
Expect,2.0,35.0,18.5,18.5,31.7,33.35,34.67,1,2
F#,2.0,32.0,11.0,12.153846153846153,21.200000000000003,25.999999999999986,30.79999999999999,1,13
Fish Shell,4.0,1353.0,43.5,158.16666666666666,113.5,672.0999999999991,1216.8200000000006,1,12
Forth,1.0,630.0,1.0,127.6,380.00000000000006,504.9999999999999,605.0,1,5
Fortran 77,2.0,35.0,3.0,6.555555555555555,11.800000000000004,23.39999999999999,32.68,1,9
Fortran 90,3.0,7.0,6.0,5.6,7.0,7.0,7.0,0,5
Freemarker Template,1.0,117.0,14.0,39.583333333333336,110.5,114.25,116.45,1,12
FXML,7.0,71.0,33.5,33.375,53.0,61.49999999999998,69.16,1,24
GDScript,0.0,78.0,5.0,9.746341463414634,19.0,33.79999999999998,70.0,1,205
Gencat NLS,1.0,109.0,47.0,37.861635220125784,76.0,78.59999999999997,91.0,1,159
Glade,464.0,1019.0,741.5,741.5,963.5,991.25,1013.45,1,2
Gleam,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0,1
GLSL,1.0,1481.0,32.5,87.09294871794872,189.90000000000038,295.29999999999984,789.4099999999991,4,312
Go,0.0,90876.0,74.0,239.5882724972895,461.0,797.0,2166.5800000000017,443,44272
Gradle,0.0,4379.0,21.0,40.998118532455315,80.0,123.0,310.0,22,2126
GraphQL,3.0,285.0,10.0,16.8734693877551,33.0,53.0,108.31000000000029,5,490
Groovy,0.0,462.0,33.0,67.32558139534883,199.2,282.4999999999999,409.86,3,215
Haml,0.0,267.0,12.0,19.874724061810156,44.0,62.0,140.0,18,1812
Handlebars,1.0,1912.0,18.0,38.13720316622691,93.39999999999998,140.20000000000005,237.2800000000002,12,1137
Haskell,0.0,8410.0,12.0,77.2063973063973,190.0,370.0,1012.6200000000026,179,17820
Haxe,13.0,13.0,13.0,13.0,13.0,13.0,13.0,0,1
HCL,0.0,1276.0,7.0,12.091295116772823,19.0,29.0,77.95000000000016,10,942
HLSL,7.0,127.0,35.0,46.18518518518518,95.60000000000008,124.6,127.0,0,27
HTML,0.0,249672.0,65.0,184.78094409397434,389.0,618.0,1282.6000000000022,138,13791
IDL,1.0,2200.0,34.5,66.46634615384616,91.90000000000003,174.64999999999998,636.2300000000007,3,208
Idris,1.0,945.0,18.0,40.31055900621118,88.70000000000005,151.85000000000002,348.93000000000245,7,644
INI,0.0,13300.0,13.0,85.24622871046229,69.0,222.599999999999,1330.0,6,2055
Jam,2.0,36.0,13.0,12.44,19.000000000000007,21.799999999999997,32.63999999999997,1,25
Java,0.0,41225.0,51.0,118.82098908753193,249.0,403.0,963.0299999999988,603,60298
JavaScript,0.0,147256.0,15.0,114.94029791062681,145.0,284.0,1146.4199999999837,1001,100030
Jinja Template,9.0,27.0,18.0,18.0,25.2,26.099999999999998,26.82,1,2
JSON,0.0,373475.0,26.0,443.69308187108913,343.0,997.0,6778.319999999996,229,22853
JSON5,10.0,58.0,11.0,26.333333333333332,48.6,53.3,57.06,1,3
JSP,1.0,73.0,11.0,17.375,31.69999999999999,52.349999999999966,68.86999999999998,1,8
JSX,0.0,2971.0,74.0,127.39558232931726,269.50000000000006,383.5999999999999,766.1799999999998,5,498
Julia,23.0,23.0,23.0,23.0,23.0,23.0,23.0,0,1
Jupyter Notebook,0.0,776.0,100.0,134.06586826347305,280.60000000000014,395.0,573.3800000000003,2,167
Kotlin,0.0,11503.0,35.0,86.21758088427661,184.0,303.34999999999854,824.6699999999983,230,22934
LESS,0.0,9468.0,46.0,123.76846915460777,258.79999999999995,442.39999999999986,1013.6399999999996,14,1313
lex,43.0,2454.0,84.0,384.22222222222223,842.0000000000003,1647.9999999999993,2292.7999999999997,1,9
liquid,1.0,104.0,1.5,15.3,34.699999999999974,69.34999999999991,97.07000000000001,1,10
Lisp,1.0,502.0,29.0,85.93103448275862,284.99999999999994,360.39999999999986,468.95999999999987,1,29
Literate Idris,2.0,52.0,12.0,16.727272727272727,39.0,45.5,50.7,1,11
LLVM IR,5.0,322.0,24.0,81.11111111111111,255.10000000000005,316.9,320.98,1,18
Logos,8.0,3162.0,134.0,275.1025641025641,366.6,644.7000000000028,2871.299999999998,1,39
Lua,0.0,31367.0,65.0,186.8373851971907,398.8000000000002,683.3999999999996,1737.7599999999948,56,5553
m4,1.0,9122.0,51.0,401.23844282238446,661.0,1630.0,7523.399999999991,5,411
make,0.0,17489.0,14.0,52.74370805369127,82.0,150.54999999999973,509.21000000000095,24,2384
Markdown,0.0,17258.0,42.0,115.68473265737836,231.0,388.1499999999978,1198.0,274,27418
Mathematica,10.0,943.0,51.5,123.04761904761905,236.89999999999998,363.5499999999997,886.4199999999995,1,42
MATLAB,1.0,254.0,29.5,43.325,108.2,110.94999999999995,205.24999999999994,1,40
Maven,6.0,3461.0,51.5,105.03403141361257,208.90000000000003,312.6499999999999,760.2199999999999,4,382
Meson,2.0,1611.0,15.5,93.1923076923077,99.5,164.5,1254.25,1,26
Metal,202.0,202.0,202.0,202.0,202.0,202.0,202.0,0,1
Modula3,19.0,19.0,19.0,19.0,19.0,19.0,19.0,0,1
Mojo,56.0,56.0,56.0,56.0,56.0,56.0,56.0,0,1
MSBuild script,1.0,2685.0,39.0,77.74397859054416,166.0,242.0,638.9999999999993,12,1121
Mustache,1.0,272.0,11.0,30.672727272727272,51.20000000000001,182.7,240.68000000000006,1,55
NAnt script,1.0,789.0,20.0,54.34117647058824,108.49999999999997,205.8999999999997,553.9100000000005,2,170
Nix,1.0,251.0,28.0,46.03896103896104,107.0,145.20000000000002,223.63999999999982,1,77
Objective-C++,2.0,2651.0,92.5,187.6811145510836,432.5,584.5,1508.4499999999991,7,646
Objective-C,0.0,10350.0,56.0,172.91852367688023,339.9000000000001,618.4499999999998,1752.4399999999987,29,2872
OCaml,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1
OpenCL,3.0,1526.0,93.0,163.3272727272727,415.6,523.9999999999989,1040.999999999996,2,165
Pascal,1.0,335946.0,37.5,3895.5454545454545,665.7000000000007,1700.5499999999888,110597.66000000019,2,198
Perl,1.0,27745.0,79.0,2182.5555555555557,1795.8000000000015,27329.0,27610.56,10,954
PHP,0.0,77933.0,31.0,84.80357176426355,163.0,295.0,820.0599999999977,532,53195
Pig Latin,41.0,100.0,64.5,67.5,94.3,97.14999999999999,99.42999999999999,1,4
PlantUML,9.0,236.0,28.0,35.7037037037037,49.800000000000004,65.69999999999999,193.35999999999973,1,27
PO File,2.0,71758.0,146.0,3135.4980392156863,12022.0,30319.0,48872.72999999999,21,2040
PowerShell,0.0,3137.0,55.0,134.2675159235669,316.5999999999999,474.3999999999992,1241.5400000000002,10,942
ProGuard,0.0,64.0,2.0,6.942857142857143,19.800000000000026,29.19999999999999,54.27999999999989,2,105
Prolog,7.0,609.0,12.0,130.0,370.20000000000005,489.5999999999999,585.12,1,5
Properties,0.0,8105.0,4.0,39.6253418413856,20.0,247.80000000000018,607.0,3,1097
Protocol Buffers,1.0,1834.0,28.0,70.71915285451198,143.0,256.0,808.6500000000028,11,1086
Pug,1.0,609.0,24.0,48.47156153050672,114.0,178.0999999999998,361.4200000000004,10,967
Puppet,1.0,445.0,20.0,46.2,36.199999999999996,162.19999999999956,388.43999999999977,1,15
PureScript,1.0,181.0,6.0,9.544864864864865,17.600000000000023,28.0,60.51999999999998,10,925
Python,0.0,89371.0,71.0,190.01522143654634,429.0,704.0,1731.4800000000105,269,26870
QML,42.0,42.0,42.0,42.0,42.0,42.0,42.0,0,1
Qt Linguist,21.0,7518.0,3052.5,3084.508474576271,7251.4,7271.25,7324.58,2,118
Qt Project,5.0,38.0,10.0,17.666666666666668,32.4,35.199999999999996,37.44,1,3
Qt,41.0,6273.0,234.0,508.15,1098.7000000000014,1738.2999999999986,4412.549999999986,1,80
R,3.0,3276.0,39.0,110.8,230.2,385.39999999999964,1274.3999999999928,3,225
Racket,197.0,197.0,197.0,197.0,197.0,197.0,197.0,0,1
RAML,5.0,503.0,38.0,77.80327868852459,172.0,242.0,423.79999999999984,1,61
Razor,1.0,456.0,9.0,26.875699888017916,68.0,119.39999999999998,234.08000000000004,9,893
ReasonML,17.0,1919.0,176.5,440.7,1027.9999999999995,1473.4999999999989,1829.9,1,10
ReScript,1.0,62.0,3.0,5.207692307692308,13.0,16.0,34.839999999999975,2,130
reStructuredText,0.0,5714.0,13.0,88.38079247817328,216.0,388.0,1087.3400000000001,45,4467
Ruby HTML,4.0,155.0,14.0,24.045454545454547,49.10000000000004,53.849999999999994,133.7899999999999,1,22
Ruby,0.0,211015.0,32.0,85.71442240779402,165.0,265.0,679.0,574,57480
Rust,0.0,10416.0,17.0,83.94935310261253,190.0,383.0,1120.1999999999935,281,28057
SAS,28.0,140.0,84.0,84.0,128.8,134.4,138.88,1,2
Sass,0.0,825.0,36.0,79.96969696969697,198.80000000000007,339.1999999999999,485.68000000000137,3,297
Scala,0.0,4466.0,35.0,92.90534817295381,216.0,348.0,882.0999999999913,305,30459
Scheme,1.0,553.0,59.0,104.0,257.0,292.0,497.4000000000002,1,41
SCSS,0.0,32256.0,12.0,53.294343376918704,118.0,184.0,523.2999999999993,71,7036
sed,1.0,221.0,6.0,47.35294117647059,217.2,219.4,220.68,1,17
SKILL,2.0,11806.0,45.0,170.82276657060518,182.70000000000005,356.2000000000003,1461.5600000000054,7,694
Slim,1.0,82.0,6.0,11.314285714285715,27.0,44.799999999999955,73.15999999999991,1,35
Smalltalk,1.0,458.0,13.0,42.78947368421053,51.59999999999998,108.79999999999917,388.1600000000001,1,19
Solidity,32.0,57.0,44.5,44.5,54.5,55.75,56.75,1,2
SQL,0.0,26927.0,6.0,102.3155452436195,62.0,132.0,1322.9000000000005,26,2586
Starlark,0.0,9403.0,27.0,55.2313330279432,81.79999999999995,125.90000000000009,446.079999999999,22,2183
Stylus,1.0,361.0,22.0,44.849557522123895,102.59999999999998,152.79999999999956,352.9599999999998,2,113
Svelte,0.0,247.0,7.0,11.34503950834065,22.0,34.0,85.23000000000002,23,2278
SVG,1.0,22398.0,1.0,38.31385066192245,12.0,34.0,393.0,176,19111
Swift,0.0,10979.0,13.0,58.63147045350435,138.0,239.0,658.0,217,21830
SWIG,1.0,1674.0,53.5,101.32222222222222,175.40000000000003,297.24999999999994,830.2799999999995,1,90
Tcl/Tk,0.0,2800.0,105.0,215.36235294117648,549.0,771.9999999999995,1387.0799999999997,5,425
TeX,1.0,6181.0,13.0,286.2429906542056,883.8000000000003,1330.1999999999994,3468.4999999999995,2,107
Thrift,4.0,252.0,19.5,45.94117647058823,121.19999999999999,156.29999999999987,232.8600000000001,1,34
TNSDL,1.0,539.0,11.0,72.92857142857143,207.00000000000003,328.7499999999998,496.88000000000005,1,28
TOML,0.0,2068.0,13.0,28.43167028199566,42.0,75.89999999999986,376.0200000000025,14,1383
Twig,0.0,1323.0,22.0,50.91534391534392,104.60000000000002,182.0,545.2100000000023,4,378
TypeScript,0.0,131461.0,23.0,154.74950876365637,216.0,396.0,1459.2699999999895,509,50892
Velocity Template Language,1.0,139.0,36.0,41.714285714285715,81.0,107.0,132.60000000000002,1,21
Verilog-SystemVerilog,6.0,476.0,7.0,59.111111111111114,102.40000000000008,289.1999999999998,438.64,1,9
vim script,0.0,11208.0,51.5,181.43633369923162,371.9000000000001,675.9499999999998,2231.8899999999967,19,1822
Visual Basic .NET,1.0,41387.0,89.0,451.697783933518,903.0999999999999,1856.6999999999962,5852.789999999946,37,3610
Visual Basic Script,0.0,154.0,12.5,31.2,64.89999999999996,109.4499999999999,145.09,1,10
Visual Basic,2.0,22.0,12.0,10.866666666666667,19.2,20.599999999999998,21.72,1,15
Visual Studio Solution,10.0,3161.0,35.0,112.93625498007968,189.0,499.5,1307.0,3,251
Visualforce Page,9.0,94.0,51.5,51.5,85.5,89.75,93.15,1,2
Vuejs Component,2.0,1439.0,85.0,119.3600583090379,245.29999999999995,332.14999999999986,549.4600000000014,21,2058
Web Services Description,1.0,1113.0,65.0,133.8846153846154,321.80000000000007,525.2999999999993,847.8999999999999,2,104
WebAssembly,3.0,209.0,8.0,12.980392156862745,20.0,22.0,119.5,1,51
Windows Message File,24.0,24.0,24.0,24.0,24.0,24.0,24.0,0,1
Windows Module Definition,1.0,5732.0,6.0,57.94193548387097,84.10000000000002,189.04999999999995,847.4799999999996,7,620
Windows Resource File,1.0,7498.0,38.0,107.47916666666667,116.20000000000027,148.04999999999993,518.9499999999971,2,144
WiX include,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0,1
WiX source,7.0,4211.0,33.0,113.56944444444444,115.0,215.05000000000013,1489.570000000024,1,72
WiX string localization,5.0,110.0,7.0,16.526315789473685,25.399999999999995,38.899999999999835,95.78000000000003,1,19
XAML,1.0,3567.0,30.0,109.58289334741288,323.1999999999998,515.3999999999999,886.039999999999,10,947
XHTML,1.0,799.0,14.0,152.5,502.19999999999993,650.5999999999998,769.3199999999999,1,8
XML,0.0,96440.0,55.0,232.36025973152104,360.0,703.0,3149.1199999999953,298,29723
XSD,1.0,9536.0,32.0,210.96969696969697,348.9000000000001,862.0499999999998,2413.670000000001,3,264
XSLT,1.0,716.0,17.0,64.6470588235294,225.9,310.4,563.9099999999996,1,68
yacc,1.0,12773.0,238.0,1020.702380952381,2158.8,3947.0499999999984,11776.170000000002,1,84
YAML,0.0,40011.0,23.0,120.4745113842434,169.0,351.0,1712.0,148,14889
zsh,2.0,232.0,25.0,62.75,186.0,227.5,231.1,1,16
